,label,STAT3,SMAD23,STAT6,SOCS1,TLR4,NFKB,STAT1,SOCS3,AP1,IL10,TNFA,TGFB,Fra1,HIF1A,ERK,IL4e,IL10e,TNFAe,TGFBe,IgG,A2a,IFNG,IFNB,IL1B,IL6e,MCSF,GMCSF,Hipoxia,GCGCR,difference
18,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506726,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1.219558905
19,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506726,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1.219558905
20,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.219506726,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1.219558905
21,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.08232783,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1.082380009
22,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.08232783,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1.082380009
23,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.08232783,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1.082380009
24,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.08232783,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1.082380009
25,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.082270895,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1.082323075
26,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.082270895,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1.082323075
27,M2aM2cM2d,0.999996273,0.999996273,0.999996273,0.999996273,3.73E-06,3.73E-06,3.73E-06,3.73E-06,3.73E-06,0.999996272,3.73E-06,0.999996273,0.999996273,0.999996273,1.082270895,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1.082323075
